name,label,node_type,degree,strength,label_priority,x,y
ORG::TC054,Alight,Organization,17,17.769230769230766,2,11.082474522902134,4.176909470172409
ORG::TC055,CAPI USA,Organization,5,4,1,10.349320584694427,3.1250107250813315
ORG::TC056,Karen Organization of Minnesota,Organization,6,9,1,11.14871444916593,3.59794992672755
ORG::TC057,Immigrant Law Center of Minnesota,Organization,21,34.75,2,11.979646658134442,4.2795733677407934
ORG::TC058,Mid-Minnesota Legal Aid,Organization,18,10.642857142857142,1,10.91700332365295,5.5760688936609615
ORG::TC060,SEWA-AIFW,Organization,4,7,1,10.680578150533098,4.02231847797433
ORG::TC062,AVIVO,Organization,5,9,1,10.734827052853756,3.872161629442258
ORG::TC064,The Advocates for Human Rights,Organization,19,25.238095238095234,2,12.328669494835719,4.442040593657243
ORG::TC065,Volunteer Lawyers Network,Organization,7,7,1,10.436530673377593,4.9516053638900095
ORG::TC070,Hmong American Partnership,Organization,4,5,1,10.650898631604583,3.159478488161425
ORG::TC073,Center for Victims of Torture,Organization,19,24.150000000000002,2,11.123473866010725,4.738725594871613
ORG::TC074,COPAL,Organization,17,25.083333333333332,2,11.260739354639334,4.440636104427852
ORG::TC075,Unidos MN,Organization,17,17,2,11.650985951414834,3.9786717065082806
ORG::TC076,Minnesota Interfaith Coalition on Immigration,Organization,15,13.25,1,10.910585411694283,3.984991224465584
ORG::TC077,ISAIAH,Organization,12,28.5,2,11.458828823476777,4.470230937390768
ORG::TC078,Jewish Community Action,Organization,15,21.947368421052634,2,11.020443253648338,4.423106895782048
ORG::D1-09,Southern Minnesota Regional Legal Services (SMRLS),Organization,1,1,1,0,0
ORG::D2-02,MN8 / Release MN8,Organization,1,1,1,10.532430010949422,6.871911642094652
ORG::D2-05,CAIR-Minnesota,Organization,1,1,1,13.262260569060626,4.970735746842255
ORG::D2-06,Inquilinxs Unidxs por Justicia / United Renters for Justice,Organization,2,2,1,4.999697501238723,0
ORG::D2-08,Defend the 612,Organization,3,4,1,14.016760574701191,4.274422398032053
ORG::TC045,Neighborhood House,Organization,1,1,1,11.623588957639372,6.969511977857794
ORG::TC082,Coalition of Asian American Leaders (CAAL),Organization,1,1,1,2,0
ORG::TC084,Minnesota Immigrant Rights Action Committee (MIRAC),Organization,4,7,1,12.435767658402362,4.644382435542004
MED::Minnesota Women's Press,Minnesota Women's Press,Media,1,1,2,1,0
MED::Bring Me The News,Bring Me The News,Media,4,10,2,12.35938397845553,4.270728914187034
MED::FOX 9,FOX 9,Media,2,4,2,11.847937442573944,5.21982342485027
MED::KSTP 5 Eyewitness News,KSTP 5 Eyewitness News,Media,4,6,2,12.429629430537549,3.862199195393009
MED::MPR News,MPR News,Media,10,13,2,12.260260749680562,4.07654692419931
MED::Minnesota Reformer,Minnesota Reformer,Media,3,7,2,12.047046435100693,4.845410334366118
MED::Minnesota Star Tribune,Minnesota Star Tribune,Media,7,11,2,11.070631698338723,5.021159236563195
MED::Sahan Journal,Sahan Journal,Media,10,18,2,12.179180399113598,4.478244175765758
MED::Community Reporter,Community Reporter,Media,4,4,2,11.068364151478274,5.855016942978572
MED::Here & Now / WBUR,Here & Now / WBUR,Media,1,1,2,9.67503830709233,3.2716830884669976
MED::Finance & Commerce,Finance & Commerce,Media,1,1,2,5.999224263097818,0.036476791837955755
MED::In These Times,In These Times,Media,1,1,2,4,0.031451709530214866
MED::Associated Press,Associated Press,Media,4,5,2,12.90889457822099,4.402592540191832
MED::Fox News Digital,Fox News Digital,Media,1,2,2,14.47082641157178,3.9681937418251465
MED::The Washington Post,The Washington Post,Media,1,1,2,14.973995445488242,4.9287269500469595
MED::The Guardian,The Guardian,Media,4,7,2,11.290297814419123,4.914877699111295
MED::N+ Univision,N+ Univision,Media,1,2,2,10.245995343725435,4.029070269628171
MED::CBS Minnesota / WCCO,CBS Minnesota / WCCO,Media,8,8,2,11.884551794515986,5.563323635291113
MED::NPR,NPR,Media,1,1,2,12.501364485540506,2.7965419001704808
MED::CNN,CNN,Media,3,3,2,12.264599524335116,5.488371803941343
MED::The New York Times,The New York Times,Media,1,1,2,12.990126032541816,3.4488091159690106
MED::Minnesota Spokesman-Recorder,Minnesota Spokesman-Recorder,Media,1,1,2,10.68486897196811,6.675820389530447
MED::The Imprint,The Imprint,Media,1,1,2,9.83679298951148,6.251321455604384
MED::KARE 11,KARE 11,Media,1,1,2,9.716724988917134,4.956064634396593
MED::Pioneer Press,Pioneer Press,Media,1,1,2,10.007816477781457,5.399124758146853
MED::Religion News Service,Religion News Service,Media,1,1,2,10.973571741119256,2.3403741766900006
MED::TC Jewfolk,TC Jewfolk,Media,2,6,2,10.824991519262191,4.597060166333686
MED::Jewish Telegraphic Agency,Jewish Telegraphic Agency,Media,1,1,2,9.634455652947679,4.415939154850506
MED::Hmong Daily News,Hmong Daily News,Media,1,1,2,3,0
